FIPS,MONTH,TMAX,TMIN,PRCP,YEAR,W_KEY
37017,02,63.0,40.482142857142854,2.0899999999999994,2019,2233
37017,03,64.34193548387097,41.44516129032258,2.97,2019,2234
37017,04,75.86,54.14333333333334,4.709999999999999,2019,2235
37017,05,88.3516129032258,64.68709677419355,1.6099999999999999,2019,2236
37017,06,89.10333333333332,68.86000000000003,4.18,2019,2237
37017,07,93.60645161290323,72.44193548387096,6.739999999999999,2019,2238
37017,08,90.14838709677419,70.76774193548388,4.28,2019,2239
37017,09,89.42666666666666,70.44666666666667,4.51,2019,2240
37019,01,64.28064516129032,37.97096774193548,6.290000000000001,1999,2241
37019,02,63.44642857142856,37.43571428571429,2.3,1999,2242
37019,03,65.3,38.045161290322575,3.68,1999,2243
37019,04,76.65333333333332,53.646666666666675,3.8600000000000003,1999,2244
37019,05,81.7709677419355,58.15483870967741,8.120000000000001,1999,2245
37019,06,85.70666666666666,67.2,4.239999999999999,1999,2246
37019,07,91.7774193548387,73.08709677419354,5.05,1999,2247
37019,08,90.99032258064516,72.91290322580643,6.989999999999999,1999,2248
37019,09,83.18,63.98,24.7,1999,2249
37019,10,75.81935483870967,53.84838709677421,6.540000000000001,1999,2250
37019,11,71.44666666666667,46.80999999999999,2.5,1999,2251
37019,12,60.82258064516129,36.36451612903226,1.6600000000000001,1999,2252
37019,01,54.758064516129025,33.55806451612903,5.5,2000,2253
37019,02,64.24482758620691,37.510344827586195,1.21,2000,2254
37019,03,70.41612903225807,44.58387096774193,2.6000000000000005,2000,2255
37019,04,72.19000000000001,49.970000000000006,3.3100000000000005,2000,2256
37019,05,84.17096774193548,60.903225806451616,1.7600000000000002,2000,2257
37019,06,87.30666666666667,68.10999999999999,5.119999999999999,2000,2258
37019,07,86.99999999999999,69.51290322580644,8.420000000000002,2000,2259
37019,08,87.23225806451612,69.1258064516129,8.489999999999998,2000,2260
37019,09,82.08666666666667,64.86666666666666,14.55,2000,2261
37019,10,76.18387096774192,48.92903225806452,0.21000000000000002,2000,2262
37019,11,64.16000000000001,39.71333333333334,4.71,2000,2263
37019,12,51.63870967741936,30.761290322580646,1.9300000000000002,2000,2264
37019,01,56.445161290322595,32.88387096774195,1.2500000000000002,2001,2265
37019,02,62.810714285714276,38.82857142857143,2.6999999999999997,2001,2266
37019,03,63.27741935483873,41.832258064516125,9.27,2001,2267
37019,04,75.89666666666666,50.44333333333332,1.31,2001,2268
37019,05,81.69032258064516,57.516129032258064,2.46,2001,2269
37019,06,87.17666666666668,69.44666666666666,6.48,2001,2270
37019,07,86.64193548387097,69.23225806451612,7.529999999999998,2001,2271
37019,08,88.43548387096774,70.45161290322581,7.77,2001,2272
37019,09,80.72666666666667,61.77333333333334,3.3299999999999996,2001,2273
37019,10,76.21290322580644,49.31935483870968,0.37,2001,2274
37019,11,73.54666666666668,47.20333333333334,1.2000000000000002,2001,2275
37019,12,65.6,41.66129032258065,1.98,2001,2276
37019,01,60.59677419354839,36.60322580645161,2.9099999999999997,2002,2277
37019,02,61.28571428571428,35.72142857142857,2.5199999999999996,2002,2278
37019,03,68.34516129032258,44.42580645161291,3.6099999999999994,2002,2279
37019,04,77.77,55.93,1.42,2002,2280
37019,05,80.57096774193548,57.2483870967742,2.98,2002,2281
37019,06,86.86666666666666,67.64666666666668,3.55,2002,2282
37019,07,90.63225806451614,72.34516129032258,6.26,2002,2283
37019,08,88.12580645161292,69.94516129032257,9.629999999999999,2002,2284
37019,09,84.9,68.89666666666668,4.68,2002,2285
37019,10,75.9709677419355,59.25483870967741,2.8699999999999988,2002,2286
37019,11,64.46000000000001,41.91333333333332,3.73,2002,2287
37019,12,56.19999999999999,34.564516129032256,3.1399999999999997,2002,2288
37019,01,52.048387096774206,30.196774193548386,0.5700000000000001,2003,2289
37019,02,57.59642857142857,35.975,3.3299999999999996,2003,2290
37019,03,68.14193548387097,47.15483870967742,6.59,2003,2291
37019,04,72.44333333333334,50.553333333333335,6.579999999999999,2003,2292
37019,05,79.94516129032259,60.909677419354836,5.65,2003,2293
37019,06,85.84666666666666,68.06666666666666,6.5699999999999985,2003,2294
37019,07,87.53870967741935,72.36774193548386,7.719999999999998,2003,2295
37019,08,87.52580645161291,72.96774193548389,4.31,2003,2296
37019,09,83.09666666666666,64.47333333333334,4.129999999999999,2003,2297
37019,10,74.04193548387097,53.574193548387086,8.85,2003,2298
37019,11,71.71333333333334,47.73000000000001,1.82,2003,2299
37019,12,56.84516129032259,32.63225806451613,3.7699999999999996,2003,2300
37019,01,54.24193548387097,31.34838709677419,2.17,2004,2301
